"User Story: User Story Reference","User Story: Owner Name","Release","JIRA key","User Story: Created By"
"US-0008252","Aayush Shrivastava","Dearborn PNM Release","SFDC-38881","Aayush Shrivastava"
"US-0008257","Aayush Shrivastava","Dearborn PNM Release","SFDC-38846","Aayush Shrivastava"
"US-0008271","Aayush Shrivastava","Dearborn PNM Release","SFDC-38854","Aayush Shrivastava"
"US-0008289","Aayush Shrivastava","Dearborn PNM Release","SFDC-38114","Aayush Shrivastava"
"US-0008293","Aayush Shrivastava","Dearborn PNM Release","SFDC-39651","Aayush Shrivastava"
"US-0010104","Aayush Shrivastava","Dearborn PNM Release","SFDC-43409","Aayush Shrivastava"
"US-0010115","Aayush Shrivastava","Dearborn PNM Release","SFDC-43410","Aayush Shrivastava"
"US-0010149","Aayush Shrivastava","Dearborn PNM Release","SFDC-41599","Aayush Shrivastava"
"US-0010156","Aayush Shrivastava","Dearborn PNM Release","SFDC-43991","Aayush Shrivastava"
"US-0010201","Aayush Shrivastava","Dearborn PNM Release","SFDC-44049","Aayush Shrivastava"
"US-0010328","Aayush Shrivastava","Dearborn PNM Release","SFDC-44294","Aayush Shrivastava"
"US-0010351","Aayush Shrivastava","Dearborn PNM Release","SFDC-44336","Aayush Shrivastava"
"US-0010352","Aayush Shrivastava","Dearborn PNM Release","","Aayush Shrivastava"
"US-0010386","Aayush Shrivastava","Dearborn PNM Release","SFDC-44424","Aayush Shrivastava"
"US-0010504","Aayush Shrivastava","Dearborn PNM Release","","Aayush Shrivastava"
"US-0010622","Aayush Shrivastava","Dearborn PNM Release","SFDC-44424","Aayush Shrivastava"
"US-0010795","Aayush Shrivastava","Dearborn PNM Release","SFDC-45206","Aayush Shrivastava"
"US-0010810","Aayush Shrivastava","Dearborn PNM Release","SFDC-45346","Aayush Shrivastava"
"US-0010826","Aayush Shrivastava","Dearborn PNM Release","SFDC-45415","Aayush Shrivastava"
"US-0010836","Aayush Shrivastava","Dearborn PNM Release","SFDC-45346","Aayush Shrivastava"
"US-0010977","Aayush Shrivastava","Dearborn PNM Release","SFDC-45599","Aayush Shrivastava"
"US-0007763","Aayush Shrivastava","Dearborn PNM Release","SFDC-38505","Aayush Shrivastava"
"US-0007817","Aayush Shrivastava","Dearborn PNM Release","SFDC-38496","Aayush Shrivastava"
"US-0007856","Aayush Shrivastava","Dearborn PNM Release","SFDC-38115","Aayush Shrivastava"
"US-0007866","Aayush Shrivastava","Dearborn PNM Release","SFDC-39167","Aayush Shrivastava"
"US-0007867","Aayush Shrivastava","Dearborn PNM Release","SFDC-39043","Aayush Shrivastava"
"US-0007980","Aayush Shrivastava","Dearborn PNM Release","SFDC-39170","Aayush Shrivastava"
"US-0007981","Aayush Shrivastava","Dearborn PNM Release","SFDC-38761","Aayush Shrivastava"
"US-0008027","Aayush Shrivastava","Dearborn PNM Release","SFDC-38041","Aayush Shrivastava"
"US-0008028","Aayush Shrivastava","Dearborn PNM Release","SFDC-39129","Aayush Shrivastava"
"US-0008029","Aayush Shrivastava","Dearborn PNM Release","SFDC-39134","Aayush Shrivastava"
"US-0008030","Aayush Shrivastava","Dearborn PNM Release","SFDC-39357","Aayush Shrivastava"
"US-0008048","Aayush Shrivastava","Dearborn PNM Release","SFDC-39094","Aayush Shrivastava"
"US-0008077","Aayush Shrivastava","Dearborn PNM Release","SFDC-39374","Aayush Shrivastava"
"US-0008099","Aayush Shrivastava","Dearborn PNM Release","SFDC-39446","Aayush Shrivastava"
"US-0008105","Aayush Shrivastava","Dearborn PNM Release","SFDC-39479","Aayush Shrivastava"
"US-0008129","Aayush Shrivastava","Dearborn PNM Release","SFDC-39492","Aayush Shrivastava"
"US-0008157","Aayush Shrivastava","Dearborn PNM Release","SFDC-39582","Aayush Shrivastava"
"US-0008204","Aayush Shrivastava","Dearborn PNM Release","SFDC-38789","Aayush Shrivastava"
"US-0008220","Aayush Shrivastava","Dearborn PNM Release","SFDC-40149","Aayush Shrivastava"
"US-0008223","Aayush Shrivastava","Dearborn PNM Release","SFDC-40155","Aayush Shrivastava"
"US-0008234","Aayush Shrivastava","Dearborn PNM Release","SFDC-40155","Aayush Shrivastava"
"US-0008238","Aayush Shrivastava","Dearborn PNM Release","SFDC-38789","Aayush Shrivastava"
"US-0008248","Aayush Shrivastava","Dearborn PNM Release","SFDC-38836","Aayush Shrivastava"
"US-0008536","Aayush Shrivastava","Dearborn PNM Release","SFDC-40290","Aayush Shrivastava"
"US-0008557","Aayush Shrivastava","Dearborn PNM Release","SFDC-40290","Aayush Shrivastava"
"US-0008558","Aayush Shrivastava","Dearborn PNM Release","SFDC-40334","Aayush Shrivastava"
"US-0008577","Aayush Shrivastava","Dearborn PNM Release","SFDC-40334","Aayush Shrivastava"
"US-0008578","Aayush Shrivastava","Dearborn PNM Release","SFDC-40344","Aayush Shrivastava"
"US-0008581","Aayush Shrivastava","Dearborn PNM Release","SFDC-40766","Aayush Shrivastava"
"US-0008595","Aayush Shrivastava","Dearborn PNM Release","SFDC-40334","Aayush Shrivastava"
"US-0008598","Aayush Shrivastava","Dearborn PNM Release","SFDC-40748","Aayush Shrivastava"
"US-0008614","Aayush Shrivastava","Dearborn PNM Release","SFDC-40748","Aayush Shrivastava"
"US-0008624","Aayush Shrivastava","Dearborn PNM Release","SFDC-40843","Aayush Shrivastava"
"US-0008625","Aayush Shrivastava","Dearborn PNM Release","SFDC-40334","Aayush Shrivastava"
"US-0008673","Aayush Shrivastava","Dearborn PNM Release","SFDC-40639","Aayush Shrivastava"
"US-0008674","Aayush Shrivastava","Dearborn PNM Release","SFDC-40639","Aayush Shrivastava"
"US-0008687","Aayush Shrivastava","Dearborn PNM Release","SFDC-40720","Aayush Shrivastava"
"US-0008688","Aayush Shrivastava","Dearborn PNM Release","SFDC-40639","Aayush Shrivastava"
"US-0008692","Aayush Shrivastava","Dearborn PNM Release","SFDC-40718","Aayush Shrivastava"
"US-0008693","Aayush Shrivastava","Dearborn PNM Release","SFDC-40722","Aayush Shrivastava"
"US-0008695","Aayush Shrivastava","Dearborn PNM Release","SFDC-40757","Aayush Shrivastava"
"US-0008711","Aayush Shrivastava","Dearborn PNM Release","SFDC-40752","Aayush Shrivastava"
"US-0008712","Aayush Shrivastava","Dearborn PNM Release","SFDC-40710","Aayush Shrivastava"
"US-0008714","Aayush Shrivastava","Dearborn PNM Release","SFDC-40638","Aayush Shrivastava"
"US-0008721","Aayush Shrivastava","Dearborn PNM Release","SFDC-40639","Aayush Shrivastava"
"US-0008722","Aayush Shrivastava","Dearborn PNM Release","SFDC-40720","Aayush Shrivastava"
"US-0008724","Aayush Shrivastava","Dearborn PNM Release","SFDC-41022","Aayush Shrivastava"
"US-0008747","Aayush Shrivastava","Dearborn PNM Release","SFDC-40727","Aayush Shrivastava"
"US-0008766","Aayush Shrivastava","Dearborn PNM Release","SFDC-40639","Aayush Shrivastava"
"US-0008772","Aayush Shrivastava","Dearborn PNM Release","SFDC-40710","Aayush Shrivastava"
"US-0008791","Aayush Shrivastava","Dearborn PNM Release","SFDC-40973","Aayush Shrivastava"
"US-0008792","Aayush Shrivastava","Dearborn PNM Release","SFDC-40969","Aayush Shrivastava"
"US-0008801","Aayush Shrivastava","Dearborn PNM Release","SFDC-40971","Aayush Shrivastava"
"US-0008818","Aayush Shrivastava","Dearborn PNM Release","SFDC-40970","Aayush Shrivastava"
"US-0008829","Aayush Shrivastava","Dearborn PNM Release","SFDC-40835","Aayush Shrivastava"
"US-0008836","Aayush Shrivastava","Dearborn PNM Release","SFDC-41100","Aayush Shrivastava"
"US-0008853","Aayush Shrivastava","Dearborn PNM Release","SFDC-40847","Aayush Shrivastava"
"US-0008858","Aayush Shrivastava","Dearborn PNM Release","SFDC-40465","Aayush Shrivastava"
"US-0008871","Aayush Shrivastava","Dearborn PNM Release","SFDC-40846","Aayush Shrivastava"
"US-0008872","Aayush Shrivastava","Dearborn PNM Release","SFDC-41043","Aayush Shrivastava"
"US-0008883","Aayush Shrivastava","Dearborn PNM Release","SFDC-41100","Aayush Shrivastava"
"US-0008887","Aayush Shrivastava","Dearborn PNM Release","SFDC-41240","Aayush Shrivastava"
"US-0008894","Aayush Shrivastava","Dearborn PNM Release","SFDC-41234","Aayush Shrivastava"
"US-0008895","Aayush Shrivastava","Dearborn PNM Release","","Aayush Shrivastava"
"US-0008912","Aayush Shrivastava","Dearborn PNM Release","SFDC-41236","Aayush Shrivastava"
"US-0008943","Aayush Shrivastava","Dearborn PNM Release","SFDC-40762","Aayush Shrivastava"
"US-0008949","Aayush Shrivastava","Dearborn PNM Release","SFDC-40845","Aayush Shrivastava"
"US-0008959","Aayush Shrivastava","Dearborn PNM Release","SFDC-41542","Aayush Shrivastava"
"US-0008962","Aayush Shrivastava","Dearborn PNM Release","SFDC-41354","Aayush Shrivastava"
"US-0008963","Aayush Shrivastava","Dearborn PNM Release","","Aayush Shrivastava"
"US-0008969","Aayush Shrivastava","Dearborn PNM Release","","Aayush Shrivastava"
